Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1908,-.43,-.46,-.39,-.49,-.43,-.36,-.22,-.55,-.53,-.42,-.44,-.29,-.48,.66
1909,-.48,-.50,-.47,-.54,-.47,-.44,-.73,-.63,-.45,-.44,-.50,-.37,-.52,-.58
1910,-.43,-.44,-.42,-.42,-.47,-.38,-.57,-.25,-.51,-.47,-.48,-.33,-.45,.15
1911,-.44,-.43,-.45,-.43,-.41,-.48,-.29,-.42,-.48,-.42,-.41,-.44,-.52,.04
1912,-.36,-.47,-.24,-.61,-.17,-.37,-.50,-.80,-.52,-.26,-.07,-.37,-.29,-1.64
1913,-.34,-.43,-.26,-.45,-.26,-.35,-.49,-.34,-.52,-.39,-.13,-.28,-.40,-1.05
1914,-.15,-.20,-.10,-.26,-.06,-.18,-.35,-.17,-.30,-.11,.00,-.16,-.18,-.38
1915,-.14,-.15,-.13,-.24,-.01,-.22,-.59,-.17,-.20,-.02,.00,-.15,-.23,-1.99
1916,-.36,-.43,-.30,-.38,-.45,-.23,-.47,-.55,-.26,-.50,-.39,-.23,-.17,-1.06
1917,-.46,-.59,-.35,-.51,-.63,-.19,-.80,-.50,-.45,-.70,-.57,-.23,-.09,.05
1918,-.30,-.40,-.19,-.41,-.33,-.14,-1.00,-.27,-.36,-.39,-.27,-.06,-.23,-.29
1919,-.28,-.36,-.20,-.45,-.20,-.22,-.70,-.56,-.32,-.23,-.16,-.15,-.32,.19
1920,-.27,-.31,-.23,-.26,-.25,-.32,-.01,-.20,-.36,-.38,-.11,-.19,-.48,-1.15
1921,-.19,-.12,-.26,.01,-.25,-.31,-.01,.17,-.10,-.30,-.20,-.23,-.38,-.85
1922,-.29,-.28,-.29,-.25,-.32,-.27,-.32,-.41,-.15,-.32,-.31,-.24,-.28,-.29
1923,-.27,-.22,-.31,-.16,-.29,-.34,.17,-.15,-.27,-.32,-.27,-.26,-.41,-.56
1924,-.27,-.19,-.35,-.14,-.25,-.43,.46,-.25,-.24,-.27,-.24,-.39,-.45,-.54
1925,-.22,-.15,-.30,-.05,-.24,-.38,-.10,.18,-.20,-.28,-.19,-.24,-.55,-.87
1926,-.11,.01,-.21,.01,.02,-.40,.54,.15,-.23,.01,.03,-.35,-.45,-.65
1927,-.22,-.14,-.29,-.14,-.15,-.39,.01,-.22,-.14,-.14,-.17,-.30,-.45,-1.39
1928,-.20,-.10,-.29,-.08,-.15,-.40,.70,-.18,-.24,-.14,-.15,-.29,-.48,-2.13
1929,-.36,-.34,-.38,-.38,-.28,-.46,.13,-.62,-.39,-.27,-.28,-.43,-.44,-1.09
1930,-.16,-.02,-.28,.03,-.10,-.42,.52,.04,-.12,-.09,-.11,-.33,-.46,-2.61
1931,-.09,.05,-.21,.00,.09,-.43,.55,-.04,-.15,.11,.06,-.42,-.40,-.42
1932,-.16,-.06,-.25,.03,-.15,-.35,.48,.19,-.22,-.18,-.13,-.21,-.53,-1.00
1933,-.29,-.26,-.31,-.25,-.27,-.34,-.17,-.47,-.13,-.28,-.27,-.22,-.48,-1.16
1934,-.13,.00,-.25,.17,-.25,-.26,.87,.31,-.13,-.25,-.24,-.16,-.38,-.58
1935,-.20,-.10,-.29,-.05,-.18,-.38,.34,-.05,-.17,-.16,-.19,-.31,-.41,-1.73
1936,-.15,-.04,-.26,-.03,-.12,-.30,.39,.10,-.26,-.04,-.19,-.27,-.33,-.05
1937,-.03,.12,-.17,.19,-.05,-.22,1.23,.03,-.03,.01,-.10,-.19,-.25,.35
1938,.00,.16,-.17,.38,-.22,-.10,1.50,.39,.02,-.17,-.26,-.06,-.11,-.88
1939,-.02,.09,-.12,.22,-.11,-.12,.56,.28,.07,-.11,-.12,-.04,-.18,-1.61
1940,.13,.17,.10,.10,.29,-.07,.99,-.02,-.10,.28,.30,.03,-.20,-.07
1941,.19,.23,.17,.01,.50,-.05,.00,-.10,.08,.55,.44,.03,-.15,-.48
1942,.07,.13,.01,.13,.08,-.01,.72,-.07,.06,.12,.04,.06,-.05,-.91
1943,.09,.18,-.01,.37,-.08,.04,1.40,.28,.10,-.10,-.06,.07,.00,1.13
1944,.20,.27,.15,.38,.19,.05,1.17,.47,.09,.11,.27,.18,-.10,-.96
1945,.09,.10,.09,.10,.17,-.03,.62,-.03,.03,.10,.24,.03,.00,-1.79
1946,-.07,.03,-.17,.06,-.04,-.24,-.03,-.05,.16,-.02,-.06,-.22,-.24,-.19
1947,-.03,.08,-.13,.15,-.06,-.17,1.06,-.13,.04,-.03,-.08,-.20,-.08,-.23
1948,-.11,-.02,-.19,.12,-.18,-.24,.11,.31,.00,-.22,-.13,-.20,-.19,-1.39
1949,-.11,-.03,-.19,.11,-.18,-.23,.20,.17,.05,-.23,-.14,-.18,-.15,-1.99
1950,-.17,-.15,-.20,-.05,-.28,-.15,.19,-.31,.04,-.30,-.27,-.07,-.16,-.87
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.11,-.22,-.16,-.70
1952,.01,.06,-.04,.11,.02,-.10,.27,-.09,.19,-.01,.05,-.10,-.02,-.52
1953,.08,.24,-.08,.35,.07,-.19,1.01,.35,.14,.08,.07,-.08,-.24,-1.12
1954,-.13,-.01,-.26,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.18,-.20,-.82
1955,-.14,-.09,-.21,.04,-.34,-.06,-.25,-.11,.23,-.29,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.48,-.09,-.28,-.37,-.14,.02,.76
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.50
1958,.06,.15,-.03,.08,.20,-.15,-.17,.14,.13,.26,.15,-.09,-.08,-.53
1959,.03,.13,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.03,-.10,-.07,-.75
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.45,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.11,-.13,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.05
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.06,.11,-.21,-.13,-.06,.06,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.30,-.22,.03,.16,.44
1972,.01,-.18,.20,-.34,.16,.14,-.36,-.47,-.25,.06,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.01,.07,.30,.22,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.22,-.08,.65
1975,-.01,-.06,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.12,.09,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.15,.25,.16,.24,.06,.09,.22,.22,.31,.28
1978,.07,.02,.11,-.04,.07,.16,-.15,.04,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.07,.08,.25,.27,.30,.33,-.20
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.32,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.10,.79,.08,.21,.15,.29,.39,.61
1982,.14,.05,.23,-.08,.27,.18,-.39,.09,-.09,.25,.29,.19,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.19,.69,-.07,.29,.58,.21,.41,.05
1984,.16,.04,.28,.01,.18,.26,.37,.08,-.14,.07,.30,.16,.32,.51
1985,.12,-.01,.24,-.03,.09,.30,.39,-.27,-.02,.03,.14,.30,.44,.04
1986,.18,.13,.23,.10,.22,.20,.01,.28,.03,.17,.28,.25,.25,-.10
1987,.32,.24,.41,.04,.58,.25,-.36,.13,.11,.54,.62,.32,.25,.01
1988,.39,.37,.41,.40,.37,.39,.59,.57,.23,.32,.43,.38,.20,.88
1989,.27,.26,.28,.40,.13,.34,.33,.69,.25,.06,.19,.36,.30,.36
1990,.45,.52,.37,.63,.37,.37,.59,.88,.48,.37,.36,.38,.37,.35
1991,.40,.41,.40,.47,.36,.40,.75,.66,.26,.32,.41,.31,.29,.95
1992,.22,.13,.31,.09,.28,.27,-.16,.44,-.04,.19,.36,.20,.33,.40
1993,.23,.19,.28,.12,.32,.22,.55,.29,-.12,.28,.35,.27,.39,-.31
1994,.31,.37,.26,.43,.31,.20,.34,.50,.41,.28,.34,.27,.23,-.05
1995,.45,.57,.32,.70,.42,.23,1.31,.99,.31,.40,.45,.29,.15,.15
1996,.33,.26,.39,.23,.31,.43,.77,.17,.10,.30,.33,.33,.28,1.19
1997,.46,.51,.41,.53,.51,.33,.76,.90,.22,.49,.52,.42,.36,-.03
1998,.61,.70,.51,.78,.69,.32,.86,.94,.65,.59,.79,.39,.31,.11
1999,.38,.48,.28,.70,.20,.30,.40,.80,.73,.15,.25,.46,.19,.00
2000,.39,.50,.29,.70,.24,.29,.97,.80,.55,.20,.28,.42,.10,.26
2001,.53,.64,.43,.80,.42,.42,1.06,.86,.68,.40,.44,.58,.24,.25
2002,.63,.71,.54,.82,.59,.47,1.25,1.00,.58,.55,.64,.49,.32,.75
2003,.62,.75,.49,.84,.64,.37,1.49,.98,.53,.61,.66,.44,.24,.37
2004,.53,.66,.41,.72,.55,.32,.46,.95,.66,.56,.53,.48,.23,-.05
2005,.67,.85,.50,1.01,.62,.41,1.98,1.22,.56,.62,.61,.49,.19,.65
2006,.63,.81,.46,.98,.55,.39,1.73,1.06,.69,.56,.54,.51,.19,.41
2007,.66,.85,.47,1.12,.46,.47,2.10,1.32,.68,.44,.48,.50,.07,1.22
2008,.54,.68,.40,.91,.37,.39,1.53,1.08,.61,.33,.41,.52,.09,.58
2009,.65,.72,.59,.77,.67,.51,1.41,.60,.68,.65,.70,.60,.15,.96
2010,.72,.90,.54,1.02,.68,.47,2.21,.87,.73,.72,.65,.63,.20,.50
2011,.61,.74,.47,.98,.37,.56,2.34,.94,.57,.38,.35,.64,.18,1.09
2012,.65,.81,.48,1.04,.52,.42,2.21,.93,.73,.47,.57,.56,.19,.42
2013,.67,.79,.55,.94,.57,.53,1.54,1.04,.69,.58,.57,.62,.22,.86
2014,.74,.91,.57,1.07,.66,.52,2.03,1.14,.72,.69,.64,.72,.18,.56
2015,.90,1.17,.63,1.31,.95,.40,2.00,1.48,.99,.97,.93,.75,.18,-.30
2016,1.01,1.30,.73,1.54,1.01,.49,3.25,1.43,1.06,.95,1.06,.67,.26,.41
2017,.92,1.17,.67,1.38,.81,.59,2.52,1.38,1.03,.86,.76,.76,.35,.55
2018,.85,1.03,.66,1.24,.67,.68,2.14,1.09,1.04,.73,.62,.79,.37,.97
2019,.97,1.21,.74,1.41,.89,.65,2.70,1.43,.98,.90,.88,.74,.39,.86
2020,1.02,1.35,.68,1.67,.86,.57,2.90,1.82,1.18,.88,.84,.58,.39,.92
2021,.85,1.14,.55,1.42,.66,.53,2.04,1.37,1.25,.72,.59,.72,.32,.31
2022,.89,1.16,.62,1.52,.57,.71,2.35,1.51,1.26,.63,.51,.78,.39,1.11
